Name,BusinessName,FeatureID,Address,City,CityEntity,State,ZIP,Phone,MatchStatus,CensusCode,GeoLocation
UPS Drop Box,Lipsco Ltd,8083,5022 New Utrecht Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11219""]",718-701-5294,OK,3.60E+14,"GeoPosition[{40.635517, -73.994919}]"
Authorized Shipping Outlet,E-Z Shipping,8081,1080 McDonald Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11230""]",718-951-3920,OK,3.60E+14,"GeoPosition[{40.6269, -73.976468}]"
Authorized Shipping Outlet,Plaza Box Store,10141,2366 Flatbush Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11234""]",718-951-0909,OK,3.60E+14,"GeoPosition[{40.612409, -73.925681}]"
Authorized Shipping Outlet,Europe Transit Inc,10150,1292 Brighton Beach Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11235""]",718-946-7310,OK,3.60E+14,"GeoPosition[{40.576311, -73.968805}]"
Authorized Shipping Outlet,American Mail Depot,10155,4809 Ave N,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11234""]",718-951-6255,OK,3.60E+14,"GeoPosition[{40.618862, -73.92868}]"
Authorized Shipping Outlet,Sandbox Pack & Ship,8585,1446 Myrtle Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11237""]",718-576-2035,OK,3.60E+14,"GeoPosition[{40.698931, -73.916864}]"
UPS Alliance Location,Staples Aso 01257,8755,409 Gateway Dr,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11239""]",718-348-9477,OK,3.60E+14,"GeoPosition[{40.650878, -73.869243}]"
Authorized Shipping Outlet,Packaging Depo,8763,2058 Rockaway Pkwy,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11236""]",718-444-9756,OK,3.60E+14,"GeoPosition[{40.632703, -73.88865}]"
UPS Drop Box,Self-Serve Drop Box,5238,50 Washington St,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11201""]","Missing[""NotAvailable""]",OK,3.60E+14,"GeoPosition[{40.702832, -73.989645}]"
The UPS Store,"Missing[""NotAvailable""]",5321,9322 3rd Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11209""]",718-759-9100,OK,3.60E+14,"GeoPosition[{40.618445, -74.033144}]"
The UPS Store,"Missing[""NotAvailable""]",5322,7103 3rd Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11209""]",718-238-1805,OK,3.60E+14,"GeoPosition[{40.633878, -74.026764}]"
The UPS Store,"Missing[""NotAvailable""]",5323,8225 5th Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11209""]",718-680-8225,OK,3.60E+14,"GeoPosition[{40.624106, -74.024797}]"
UPS Drop Box,Ny Design Architects,5345,9710 3rd Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11209""]",718-980-0700,OK,3.60E+14,"GeoPosition[{40.615704, -74.034247}]"
UPS Drop Box,Hamilton Financial C,5434,9201 4th Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11209""]",718-390-0300,OK,3.60E+14,"GeoPosition[{40.618255, -74.030171}]"
UPS Drop Box,Self-Serve Drop Box,5435,7620 3rd Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11209""]",718-390-0300,OK,3.60E+14,"GeoPosition[{40.630566, -74.028199}]"
UPS Drop Box,Beltway Buick,5436,1819 Cropsey Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11214""]",718-390-0300,OK,3.60E+14,"GeoPosition[{40.60227, -74.006664}]"
UPS Drop Box,Brooklyn Army Termin,5437,140 58th St,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11220""]",718-390-0300,OK,3.60E+14,"GeoPosition[{40.645314, -74.022907}]"
UPS Drop Box,Self-Serve Drop Box,5438,1001 60th St,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11219""]",718-390-0300,OK,3.60E+14,"GeoPosition[{40.632718, -74.004902}]"
UPS Drop Box,American Stock Trans,5439,6201 15th Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11219""]",718-390-0300,OK,3.60E+14,"GeoPosition[{40.624961, -73.99536}]"
UPS Drop Box,Held Esq,5440,6920 Bay Pkwy,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11204""]",718-390-0300,OK,3.60E+14,"GeoPosition[{40.611214, -73.984214}]"
UPS Drop Box,Self Serve Drop Box,8112,777 Kent Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11205""]",718-701-5294,OK,3.60E+14,"GeoPosition[{40.697644, -73.959981}]"
UPS Drop Box,Self-Serve Drop Box,8114,395 Flatbush Ave Ext,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11201""]",718-701-5294,OK,3.60E+14,"GeoPosition[{40.689888, -73.981331}]"
UPS Drop Box,Self Serve Drop Box,8113,178 Wallabout St,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11206""]",718-701-5294,OK,3.60E+14,"GeoPosition[{40.699815, -73.956017}]"
UPS Drop Box,Paz Bldg,8115,185 Marcy Ave,Brooklyn,"Entity[""City"", {""Brooklyn"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","Entity[""ZIPCode"", ""11211""]",718-701-5294,OK,3.60E+14,"GeoPosition[{40.707687, -73.958315}]"
