listing,Van Leeuwen,Gelateria Gentile,OddFellows,Ample Hills,Emack & Bolio's,average,min,max,price per night,room type,super host status,instant book feature,host-listings count,latitude,longitude,review scores rating,accomodates,cancellation
15241517,6.9,9.2,9.3,6.5,7.5,7.88,6.5,9.3,70,Private room,y,n,1,40.60094978,-73.99683998,100,3,flexible
16314419,3.8,3.1,3.2,3.8,4.1,3.6,3.1,4.1,25,Shared room,n,n,2,40.68937355,-73.92259999,87,1,moderate
18331847,5.3,8.4,8.6,4.8,5.9,6.6,4.8,8.6,61,Entire home/apt,n,n,1,40.62543646,-74.03494577,,2,moderate
5481762,2.1,2.3,2.5,2.1,2.3,2.26,2.1,2.5,159,Entire home/apt,y,y,2,40.68684824,-73.9552609,94,4,strict
16163874,3.3,3.3,3.4,3.3,3.6,3.38,3.3,3.6,150,Entire home/apt,y,y,1,40.6824853,-73.93233978,100,4,flexible
17539808,3.3,3.5,3.6,3.3,3.6,3.46,3.3,3.6,55,Private room,n,n,1,40.6798729,-73.93234943,96,2,moderate
46723,2.5,3,3.1,2.5,2.8,2.78,2.5,3.1,90,Private room,n,n,4,40.67991854,-73.94750187,94,2,strict
13812808,2.8,2.9,3,2.8,3,2.9,2.8,3,100,Private room,n,y,1,40.68282684,-73.94374623,,3,flexible
13223949,2.4,2.7,2.8,2.4,2.6,2.58,2.4,2.8,115,Entire home/apt,n,n,1,40.68314861,-73.95035356,80,2,strict
4111353,3.5,2.8,2.9,3.5,3.7,3.28,2.8,3.7,120,Private room,n,n,1,40.69164274,-73.92841823,,2,strict
828130,2.4,4.1,4.2,1.9,3,3.12,1.9,4.2,70,Private room,n,n,1,40.6622861,-73.96295726,94,2,moderate
6316786,2.5,4.2,4.3,2,3.2,3.24,2,4.3,52,Private room,n,n,3,40.66082752,-73.96246965,92,1,moderate
791049,3.3,4.4,4.5,2.8,3.9,3.78,2.8,4.5,149,Entire home/apt,n,n,2,40.66239406,-73.94575942,85,5,moderate
5272406,3,4.1,4.3,2.4,3.6,3.48,2.4,4.3,40,Private room,n,n,1,40.66210567,-73.95125204,97,2,strict
15146856,2.9,4,4.2,2.4,3.6,3.42,2.4,4.2,129,Entire home/apt,n,n,1,40.66369413,-73.95100087,,2,flexible
7746019,2.5,4.2,4.3,2,3.2,3.24,2,4.3,95,Entire home/apt,n,n,1,40.65993738,-73.9622165,98,4,flexible
7936698,2.5,4.2,4.4,2,3.2,3.26,2,4.4,50,Private room,n,n,1,40.6601994,-73.96245858,80,1,flexible
15663653,3.4,4.5,4.6,2.9,4,3.88,2.9,4.6,79,Entire home/apt,n,y,1,40.66081773,-73.94532153,97,4,strict
10212686,3.3,4.4,4.5,2.8,3.9,3.78,2.8,4.5,50,Private room,n,n,1,40.6617786,-73.94516623,90,2,flexible
9385790,3,4.3,4.5,2.5,3.6,3.58,2.5,4.5,36,Private room,n,n,1,40.65822107,-73.95439442,100,1,flexible
4417774,2.7,4.3,4.4,2.2,3.3,3.38,2.2,4.4,50,Private room,y,n,1,40.65854104,-73.96103677,98,3,flexible
3683551,2.4,4.1,4.2,1.9,3.1,3.14,1.9,4.2,70,Entire home/apt,n,n,1,40.66159321,-73.96146255,87,2,flexible
223597,2.7,4.3,4.4,2.2,3.3,3.38,2.2,4.4,50,Private room,n,n,7,40.65801251,-73.96081394,80,2,moderate
3067244,2.6,4.2,4.3,2.1,3.2,3.28,2.1,4.3,90,Entire home/apt,n,n,1,40.6596232,-73.96062576,93,3,flexible
260618,2.7,4,4.2,2.1,3.3,3.26,2.1,4.2,75,Entire home/apt,n,n,2,40.66288347,-73.95666232,88,6,strict
14500735,2.7,4.3,4.4,2.2,3.3,3.38,2.2,4.4,139,Entire home/apt,n,n,1,40.65830781,-73.96074874,100,8,strict
12290567,2.5,4.1,4.2,2,3.1,3.18,2,4.2,40,Entire home/apt,n,n,1,40.66158107,-73.95998719,60,2,moderate
5059370,3.1,4.3,4.5,2.6,3.7,3.64,2.6,4.5,36,Private room,n,n,1,40.65798469,-73.9534275,,2,flexible
5784470,3.1,3.1,3.2,3.1,3.4,3.18,3.1,3.4,189,Entire home/apt,n,n,1,40.6830224,-73.93698648,94,6,strict
3476105,2.1,2.5,2.7,2.1,2.3,2.34,2.1,2.7,129,Entire home/apt,n,n,1,40.68422256,-73.95666072,93,2,moderate
9112776,2.2,2.5,2.6,2.2,2.5,2.4,2.2,2.6,55,Private room,n,n,1,40.68516429,-73.95329655,,2,moderate
5210723,2.1,2.3,2.5,2.1,2.4,2.28,2.1,2.5,40,Private room,n,y,2,40.68816461,-73.95363807,94,1,strict
11865950,2.5,2,2.1,2.8,2.6,2.4,2,2.8,60,Private room,n,n,3,40.69560659,-73.94874256,80,2,flexible
9509369,3.3,3.1,3.2,3.4,3.6,3.32,3.1,3.6,79,Entire home/apt,n,n,1,40.68469878,-73.93262215,95,3,moderate
13082788,2.7,2.4,2.5,2.7,2.9,2.64,2.4,2.9,110,Entire home/apt,y,n,1,40.69125632,-73.94375947,97,2,strict
11604307,3.2,3.4,3.5,3.2,3.4,3.34,3.2,3.5,70,Private room,y,n,3,40.68022814,-73.93586403,99,2,moderate
9905076,3.4,2.7,2.8,3.4,3.6,3.18,2.7,3.6,67,Private room,n,n,1,40.69211742,-73.93015534,95,4,strict
4271877,3.8,3.3,3.4,3.8,4.1,3.68,3.3,4.1,69,Private room,n,y,3,40.68690255,-73.92253983,92,5,moderate
3616547,2.2,2.1,2.3,2.3,2.3,2.24,2.1,2.3,149,Entire home/apt,n,n,1,40.69104397,-73.9534015,90,3,moderate
2934692,2.8,3.3,3.4,2.8,3.1,3.08,2.8,3.4,61,Private room,y,n,1,40.67874642,-73.94236382,94,2,strict
7932177,2.5,2.1,2.2,2.6,2.6,2.4,2.1,2.6,35,Private room,n,n,1,40.69370452,-73.94961775,100,2,flexible
17620415,2.4,2.2,2.4,2.4,2.6,2.4,2.2,2.6,174,Entire home/apt,n,y,1,40.6910329,-73.94981437,90,4,moderate
